image_id,class_id,x_min,y_min,x_max,y_max,confidence,width,height
0005e8e3701dfb1dd93d53e2ff537b6e,4,310.6666666666667,189.0,399.0,298.6666666666667,1.0,1024,1024
0005e8e3701dfb1dd93d53e2ff537b6e,6,300.0,195.66666666666666,401.6666666666667,296.0,1.0,1024,1024
0005e8e3701dfb1dd93d53e2ff537b6e,8,310.6666666666667,189.0,399.0,298.6666666666667,1.0,1024,1024
0005e8e3701dfb1dd93d53e2ff537b6e,7,300.83331298828125,195.0,401.3333435058594,296.33331298828125,1.0,1024,1024
0007d316f756b3fa0baea2ff514ce945,5,820.8888888888889,500.97777777777776,930.2222222222222,745.2444444444444,1.0,1024,1024
0007d316f756b3fa0baea2ff514ce945,5,237.77777777777777,621.5111111111111,414.22222222222223,715.7333333333333,1.0,1024,1024
0007d316f756b3fa0baea2ff514ce945,0,557.7777709960938,366.22222900390625,662.2222290039062,448.3555603027344,1.0,1024,1024
0007d316f756b3fa0baea2ff514ce945,3,400.8888888888889,649.6,812.8888888888889,724.2666666666667,1.0,1024,1024
0007d316f756b3fa0baea2ff514ce945,11,363.55555555555554,240.7111111111111,438.6666666666667,333.8666666666667,1.0,1024,1024
0007d316f756b3fa0baea2ff514ce945,11,276.0,239.2888888888889,455.55555555555554,302.5777777777778,1.0,1024,1024
0007d316f756b3fa0baea2ff514ce945,11,351.1111111111111,225.42222222222222,465.3333333333333,257.77777777777777,1.0,1024,1024
0007d316f756b3fa0baea2ff514ce945,13,618.6666666666666,249.6,674.6666666666666,280.8888888888889,1.0,1024,1024
0007d316f756b3fa0baea2ff514ce945,13,357.3333333333333,254.57777777777778,380.8888888888889,327.1111111111111,1.0,1024,1024
0007d316f756b3fa0baea2ff514ce945,13,363.55555555555554,240.7111111111111,438.6666666666667,333.8666666666667,1.0,1024,1024
000d68e42b71d3eac10ccc077aba07c1,7,75.55555555555556,169.95555555555555,904.0,526.9333333333333,1.0,1024,1024
000d68e42b71d3eac10ccc077aba07c1,7,526.2222222222222,87.46666666666667,704.8888888888889,116.26666666666667,1.0,1024,1024
000d68e42b71d3eac10ccc077aba07c1,0,474.6666666666667,183.82222222222222,600.0,273.06666666666666,1.0,1024,1024
000d68e42b71d3eac10ccc077aba07c1,13,602.2222222222222,219.0222222222222,755.5555555555555,418.4888888888889,1.0,1024,1024
000d68e42b71d3eac10ccc077aba07c1,11,208.44444444444446,107.73333333333333,347.1111111111111,131.2,1.0,1024,1024
000d68e42b71d3eac10ccc077aba07c1,11,526.2222222222222,87.46666666666667,704.8888888888889,116.26666666666667,1.0,1024,1024
000d68e42b71d3eac10ccc077aba07c1,9,19.11111111111111,0.0,392.0,510.22222222222223,1.0,1024,1024
000d68e42b71d3eac10ccc077aba07c1,9,929.7777709960938,416.5333251953125,1008.0,646.04443359375,1.0,1024,1024
000d68e42b71d3eac10ccc077aba07c1,9,153.33333333333334,6.4,323.55555555555554,112.35555555555555,1.0,1024,1024
000d68e42b71d3eac10ccc077aba07c1,9,930.2222222222222,426.6666666666667,943.5555555555555,442.31111111111113,1.0,1024,1024
000d68e42b71d3eac10ccc077aba07c1,9,525.3333333333334,0.35555555555555557,933.3333333333334,527.6444444444444,1.0,1024,1024
000d68e42b71d3eac10ccc077aba07c1,9,4.444444444444445,515.2,30.22222222222222,599.8222222222222,1.0,1024,1024
